game_date,season_year,team_name,opp_team_name,venue,period,clock_seconds,situation_type,goals_for,goals_against,player_name,event,high_danger_unblocked,assumed_danger_states,event_successful,side_of_rink,x_coord,y_coord,distance_to_net,angle_to_attacking_net,event_type,player_name_2,x_coord_2,y_coord_2,distance_to_net_2,angle_to_attacking_net_2,event_detail_1,event_detail_2,event_detail_3,frame_id_1,frame_id_2,game_seconds,away_player_1,away_position_1,away_x_1,away_y_1,away_player_2,away_position_2,away_x_2,away_y_2,away_player_3,away_position_3,away_x_3,away_y_3,away_player_4,away_position_4,away_x_4,away_y_4,away_player_5,away_position_5,away_x_5,away_y_5,home_player_1,home_position_1,home_x_1,home_y_1,home_player_2,home_position_2,home_x_2,home_y_2,home_player_3,home_position_3,home_x_3,home_y_3,home_player_4,home_position_4,home_x_4,home_y_4,home_player_5,home_position_5,home_x_5,home_y_5,away_player_6,away_position_6,away_x_6,away_y_6,home_player_6,home_position_6,home_x_6,home_y_6,away_player_10,away_position_10,away_x_10,away_y_10,away_player_7,away_position_7,away_x_7,away_y_7,away_player_8,away_position_8,away_x_8,away_y_8,away_player_9,away_position_9,away_x_9,away_y_9,home_player_10,home_position_10,home_x_10,home_y_10,home_player_7,home_position_7,home_x_7,home_y_7,home_player_8,home_position_8,home_x_8,home_y_8,home_player_9,home_position_9,home_x_9,home_y_9,away_player_20,away_position_20,away_x_20,away_y_20,away_player_11,away_player_21,away_position_11,away_position_21,away_x_11,away_x_21,away_y_11,away_y_21,away_player_12,away_player_22,away_position_12,away_position_22,away_x_12,away_x_22,away_y_12,away_y_22,away_player_13,away_position_13,away_x_13,away_y_13,away_player_14,away_position_14,away_x_14,away_y_14,away_player_15,away_position_15,away_x_15,away_y_15,away_player_16,away_position_16,away_x_16,away_y_16,away_player_17,away_position_17,away_x_17,away_y_17,away_player_18,away_position_18,away_x_18,away_y_18,away_player_19,away_position_19,away_x_19,away_y_19,home_player_20,home_position_20,home_x_20,home_y_20,home_player_11,home_player_21,home_position_11,home_position_21,home_x_11,home_x_21,home_y_11,home_y_21,home_player_12,home_player_22,home_position_12,home_position_22,home_x_12,home_x_22,home_y_12,home_y_22,home_player_13,home_position_13,home_x_13,home_y_13,home_player_14,home_position_14,home_x_14,home_y_14,home_player_15,home_position_15,home_x_15,home_y_15,home_player_16,home_position_16,home_x_16,home_y_16,home_player_17,home_position_17,home_x_17,home_y_17,home_player_18,home_position_18,home_x_18,home_y_18,home_player_19,home_position_19,home_x_19,home_y_19
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,380,5 on 4,0,0,Sarah Fillier,Puck Recovery,,0,t,1,165,3,46.21958459,148.7173463,,,,,,,,,,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,378,5 on 4,0,0,Sarah Fillier,Play,,0,t,1,194,19,24.02602755,-167.9885216,Indirect,Brianne Jenner,193,69,26.80018657,-8.58362148,,,,,,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,375,5 on 4,0,0,Brianne Jenner,Play,,0,t,1,185,78,35.72464136,6.428747749,Direct,Marie-Philip Poulin,139,80,62.5,53.13010235,,,,344,370,825,Rebecca Johnston,Center,168.4292433,54.63735625,Brianne Jenner,Center,189.2007159,69.85557128,Erin Ambrose,Defense,136.0534001,32.53668321,,,,,,,,,Lee Stecklein,Defense,177.4440185,47.29070686,Alex Carpenter,Left Wing,153.7944796,51.46011171,Maddie Rooney,Goalie,185.2731885,44.18021339,Amanda Kessel,Center,166.2776697,41.39013731,Megan Keller,Defense,184.142395,61.68780332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,373,5 on 4,0,0,Marie-Philip Poulin,Play,,0,t,1,161,82,48.41745553,35.33133134,Direct,Rebecca Johnston,143,66,51.65510623,62.93889386,,,,420,443,827,Rebecca Johnston,Center,154.0732832,56.52484069,Brianne Jenner,Center,182.2300868,60.75967711,Marie-Philip Poulin,Center,156.8731602,74.51690269,Erin Ambrose,Defense,129.8760748,36.04428493,Sarah Fillier,Center,184.9060096,36.55722231,Amanda Kessel,Center,161.752327,47.12936395,Alex Carpenter,Left Wing,155.6723612,66.37894904,Maddie Rooney,Goalie,183.973744,47.0862535,Megan Keller,Defense,173.7540479,59.47831566,Lee Stecklein,Defense,176.1373283,44.35619658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,366,5 on 4,0,0,Rebecca Johnston,Play,,0,t,1,176,82,41.58425183,18.2170952,Direct,Marie-Philip Poulin,130,68,64.27480066,66.62583563,,,,605,639,834,Erin Ambrose,Defense,135.5637619,35.12454082,Sarah Fillier,Center,170.5392892,51.64355711,Rebecca Johnston,Center,174.9478428,73.7464874,Brianne Jenner,Center,180.6042957,51.71860441,Marie-Philip Poulin,Center,128.3488622,64.73610232,Alex Carpenter,Left Wing,151.8028631,50.55658861,Amanda Kessel,Center,164.2416323,44.26497771,Lee Stecklein,Defense,178.8670496,48.44211874,Maddie Rooney,Goalie,184.426833,44.69735868,Megan Keller,Defense,174.7556741,66.97976194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,365,5 on 4,0,0,Marie-Philip Poulin,Play,,0,t,1,130,68,64.27480066,66.62583563,Direct,Erin Ambrose,133,30,57.37813172,102.5829625,,,,650,670,835,Rebecca Johnston,Center,163.1979111,67.91416397,Marie-Philip Poulin,Center,126.2100244,65.78896705,Erin Ambrose,Defense,128.572869,34.73296065,Brianne Jenner,Center,182.2824499,52.059091,Sarah Fillier,Center,175.2752512,43.67513701,Megan Keller,Defense,166.1165829,60.42260935,Lee Stecklein,Defense,177.4389826,47.53317275,Alex Carpenter,Left Wing,138.5440569,55.99439971,Amanda Kessel,Center,161.7368607,43.13114041,Maddie Rooney,Goalie,184.8301443,43.9696631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,363,5 on 4,0,0,Erin Ambrose,Play,,0,t,1,139,30,51.53882032,104.0362435,Direct,Brianne Jenner,176,43,13.00961183,87.79740184,,,,701,718,837,Brianne Jenner,Center,180.4275023,43.7219319,Rebecca Johnston,Center,158.470309,44.91270208,Erin Ambrose,Defense,138.732155,27.10378435,Sarah Fillier,Center,183.0249394,27.18053818,,,,,Alex Carpenter,Left Wing,143.4798333,58.52727203,Amanda Kessel,Center,154.8668946,32.53666427,Lee Stecklein,Defense,171.4847832,33.7818975,Megan Keller,Defense,173.3815565,47.47636649,Maddie Rooney,Goalie,185.7680043,40.19658028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,362,5 on 4,0,0,Rebecca Johnston,Puck Recovery,,0,t,1,169,34,21.73131381,113.025492,,,,,,,,,,734,,838,Rebecca Johnston,Center,168.441608,35.77799917,Erin Ambrose,Defense,139.7727088,25.49333509,Sarah Fillier,Center,189.0147469,24.01632954,Brianne Jenner,Center,177.8554221,40.27272745,,,,,Megan Keller,Defense,177.5047302,42.40564403,Amanda Kessel,Center,151.1535688,29.66633584,Maddie Rooney,Goalie,185.0208855,41.25488904,Lee Stecklein,Defense,179.4088962,35.94658775,Alex Carpenter,Left Wing,159.0171801,49.75200959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,360,5 on 4,0,0,Rebecca Johnston,Play,,0,t,1,161,12,41.40350227,137.4470486,Direct,Erin Ambrose,133,35,56.5,97.62814967,,,,804,830,840,Sarah Fillier,Center,197.9461843,23.49889393,Rebecca Johnston,Center,166.439969,15.16678703,Brianne Jenner,Center,177.2107294,37.0319939,,,,,,,,,Alex Carpenter,Left Wing,168.5112755,47.75342308,Maddie Rooney,Goalie,186.5896969,38.88073034,Lee Stecklein,Defense,179.3738367,30.16441881,Amanda Kessel,Center,161.2267247,30.97836637,Megan Keller,Defense,180.4163023,41.59985864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,359,5 on 4,0,0,Erin Ambrose,Play,,0,t,1,133,35,56.5,97.62814967,Direct,Rebecca Johnston,136,23,56.47344509,110.1998066,,,,831,856,841,Rebecca Johnston,Center,151.2902291,15.3958336,Brianne Jenner,Center,173.4778707,35.6073776,Marie-Philip Poulin,Center,154.9249454,67.03720888,Erin Ambrose,Defense,133.4971583,37.90797034,,,,,Alex Carpenter,Left Wing,169.3408623,50.78809078,Maddie Rooney,Goalie,184.8320132,40.7073978,Lee Stecklein,Defense,172.8882934,31.81137068,Megan Keller,Defense,178.5097185,42.81242541,Amanda Kessel,Center,155.3298747,35.34311208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
