game_date,season_year,team_name,opp_team_name,venue,period,clock_seconds,situation_type,goals_for,goals_against,player_name,event,event_successful,x_coord,y_coord,event_type,player_name_2,x_coord_2,y_coord_2,event_detail_1,event_detail_2,event_detail_3,game_seconds,away_player_1,away_position_1,away_x_1,away_y_1,away_player_2,away_position_2,away_x_2,away_y_2,away_player_3,away_position_3,away_x_3,away_y_3,away_player_4,away_position_4,away_x_4,away_y_4,away_player_5,away_position_5,away_x_5,away_y_5,home_player_1,home_position_1,home_x_1,home_y_1,home_player_2,home_position_2,home_x_2,home_y_2,home_player_3,home_position_3,home_x_3,home_y_3,home_player_4,home_position_4,home_x_4,home_y_4,home_player_5,home_position_5,home_x_5,home_y_5,away_player_6,away_position_6,away_x_6,away_y_6,home_player_6,home_position_6,home_x_6,home_y_6,away_player_7,away_position_7,away_x_7,away_y_7,home_player_7,home_position_7,home_x_7,home_y_7
8/2/22,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,386,4 on 5,0,0,Alex Carpenter,Faceoff Win,t,31,65,Backhand,Marie-Philip Poulin,,,,,,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,383,4 on 5,0,0,Lee Stecklein,Puck Recovery,t,6,64,,,,,,,,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,382,4 on 5,0,0,Lee Stecklein,Dump In/Out,f,4,37,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,380,5 on 4,0,0,Sarah Fillier,Puck Recovery,t,165,82,,,,,,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,378,5 on 4,0,0,Sarah Fillier,Play,t,194,66,Indirect,Brianne Jenner,193,16,,,,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,375,5 on 4,0,0,Brianne Jenner,Play,t,185,7,Direct,Marie-Philip Poulin,139,5,,,,825,Rebecca Johnston,Center,168.2930634,54.85785859,Brianne Jenner,Center,188.8057035,70.05320539,Erin Ambrose,Defense,135.8950353,32.45489362,,,,,,,,,Lee Stecklein,Defense,177.2183793,47.47817122,Maddie Rooney,Goalie,185.1471263,44.23663567,Amanda Kessel,Center,166.1482857,41.44091485,Megan Keller,Defense,183.7580679,61.80534255,Kendall Coyne Schofield,Center,153.4601061,51.56726,,,,,,,,,,,,,,,,
8/2/22,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,373,5 on 4,0,0,Marie-Philip Poulin,Play,t,161,3,Direct,Rebecca Johnston,143,19,,,,827,Marie-Philip Poulin,Center,157.372685,74.60690142,Rebecca Johnston,Center,153.8767366,56.61082764,Brianne Jenner,Center,182.3136592,60.46506873,Erin Ambrose,Defense,129.0802648,33.65651306,Sarah Fillier,Center,184.8866716,36.57315615,Megan Keller,Defense,173.7561869,59.5555479,Maddie Rooney,Goalie,184.0179619,47.04510808,Amanda Kessel,Center,161.7783376,47.20333277,Kendall Coyne Schofield,Center,156.0727197,66.52528857,Lee Stecklein,Defense,176.2639528,44.21581754,,,,,,,,,,,,,,,,
8/2/22,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,366,5 on 4,0,0,Rebecca Johnston,Play,t,176,3,Direct,Marie-Philip Poulin,130,17,,,,834,Erin Ambrose,Defense,135.2553147,35.14794836,Brianne Jenner,Center,180.597495,51.74960353,Rebecca Johnston,Center,174.4518633,73.71913602,Sarah Fillier,Center,170.7081897,51.39214064,Marie-Philip Poulin,Center,126.5036335,64.14459557,Megan Keller,Defense,174.3174855,66.8888565,Amanda Kessel,Center,164.1509279,44.25764145,Kendall Coyne Schofield,Center,151.416815,50.67238388,Lee Stecklein,Defense,178.8181389,48.49124127,Maddie Rooney,Goalie,184.1961006,45.00409804,,,,,,,,,,,,,,,,
8/2/22,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,365,5 on 4,0,0,Marie-Philip Poulin,Play,t,130,17,Direct,Erin Ambrose,133,55,,,,835,Erin Ambrose,Defense,128.4366463,34.64907658,Marie-Philip Poulin,Center,126.2229862,65.81385615,Rebecca Johnston,Center,162.9196372,67.54786457,Sarah Fillier,Center,174.3000179,46.12510413,Brianne Jenner,Center,182.3236825,52.03055996,Megan Keller,Defense,165.9451601,60.1272031,Lee Stecklein,Defense,177.3949442,47.46889815,Kendall Coyne Schofield,Center,138.0939089,56.21615677,Amanda Kessel,Center,161.65615,43.05741262,,,,,,,,,,,,,,,,,,,,
8/2/22,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,363,5 on 4,0,0,Erin Ambrose,Play,t,139,55,Direct,Brianne Jenner,176,42,,,,837,Brianne Jenner,Center,180.263516,43.49694581,Erin Ambrose,Defense,138.923604,27.008261,Rebecca Johnston,Center,158.7166008,44.48562498,Sarah Fillier,Center,185.0375348,23.89173195,,,,,Lee Stecklein,Defense,171.7191979,33.6730689,Kendall Coyne Schofield,Center,143.2841239,58.71215141,Amanda Kessel,Center,154.6372251,32.37946195,Megan Keller,Defense,173.6837324,47.2669545,Maddie Rooney,Goalie,185.7857744,40.22263112,,,,,,,,,,,,,,,,
