game_date,16/2/2022
season_year,2021
team_name,Olympic (Women) - Finland
opp_team_name,Olympic (Women) - Switzerland
venue,home
period,1
clock_seconds,376
situation_type,5 on 4
goals_for,1
goals_against,0
player_name,Noora Tulus
event,Play
high_danger_unblocked,
assumed_danger_states,0
event_successful,t
side_of_rink,1
x_coord,159.0
y_coord,66.0
distance_to_attacking_net,38.10839802
angle_to_attacking_net,51.92721813
event_type,Direct
player_name_2,Petra Nieminen
x_coord_2,153.0
y_coord_2,55.0
distance_to_net_2,38.10839802
angle_to_attacking_net_2,70.85186254
event_detail_1,
event_detail_2,
event_detail_3,
frame_id_1,1250.0
frame_id_2,1268.0
game_seconds,824
away_player_1,Sarah Forster
away_position_1,Defense
away_x_1,168.0929173
away_y_1,54.67117441
away_player_2,Noemi Ryhner
away_position_2,Center
away_x_2,159.2568476
away_y_2,40.43914129
away_player_3,Alina Muller
away_position_3,Center
away_x_3,171.5993061
away_y_3,41.66196184
away_player_4,Shannon Sigrist
away_position_4,Defense
away_x_4,180.5877278
away_y_4,40.50087743
away_player_5,Andrea Brandli
away_position_5,Goalie
away_x_5,185.5456673
away_y_5,44.34895327
home_player_1,Noora Tulus
home_position_1,Right Wing
home_x_1,158.3683969
home_y_1,66.43150085
home_player_2,Michelle Karvinen
home_position_2,Left Wing
home_x_2,168.6950899
home_y_2,22.93416649
home_player_3,Jenni Hiirikoski
home_position_3,Defense
home_x_3,137.7475447
home_y_3,31.00031041
home_player_4,Susanna Tapani
home_position_4,Center
home_x_4,186.8564754
home_y_4,48.69469679
home_player_5,Petra Nieminen
home_position_5,Center
home_x_5,152.964857
home_y_5,51.816864
away_player_6,
away_position_6,
away_x_6,
away_y_6,
home_player_6,
home_position_6,
home_x_6,
home_y_6,
away_player_10,
away_position_10,
away_x_10,
away_y_10,
away_player_7,
away_position_7,
away_x_7,
away_y_7,
away_player_8,
away_position_8,
away_x_8,
away_y_8,
away_player_9,
away_position_9,
away_x_9,
away_y_9,
home_player_10,
home_position_10,
home_x_10,
home_y_10,
home_player_7,
home_position_7,
home_x_7,
home_y_7,
home_player_8,
home_position_8,
home_x_8,
home_y_8,
home_player_9,
home_position_9,
home_x_9,
home_y_9,
away_player_20,
away_position_20,
away_x_20,
away_y_20,
away_player_11,
away_player_21,
away_position_11,
away_position_21,
away_x_11,
away_x_21,
away_y_11,
away_y_21,
away_player_12,
away_player_22,
away_position_12,
away_position_22,
away_x_12,
away_x_22,
away_y_12,
away_y_22,
away_player_13,
away_position_13,
away_x_13,
away_y_13,
away_player_14,
away_position_14,
away_x_14,
away_y_14,
away_player_15,
away_position_15,
away_x_15,
away_y_15,
away_player_16,
away_position_16,
away_x_16,
away_y_16,
away_player_17,
away_position_17,
away_x_17,
away_y_17,
away_player_18,
away_position_18,
away_x_18,
away_y_18,
away_player_19,
away_position_19,
away_x_19,
away_y_19,
home_player_20,
home_position_20,
home_x_20,
home_y_20,
home_player_11,
home_player_21,
home_position_11,
home_position_21,
home_x_11,
home_x_21,
home_y_11,
home_y_21,
home_player_12,
home_player_22,
home_position_12,
home_position_22,
home_x_12,
home_x_22,
home_y_12,
home_y_22,
home_player_13,
home_position_13,
home_x_13,
home_y_13,
home_player_14,
home_position_14,
home_x_14,
home_y_14,
home_player_15,
home_position_15,
home_x_15,
home_y_15,
home_player_16,
home_position_16,
home_x_16,
home_y_16,
home_player_17,
home_position_17,
home_x_17,
home_y_17,
home_player_18,
home_position_18,
home_x_18,
home_y_18,
home_player_19,
home_position_19,
home_x_19,
home_y_19,
O Players,5.0
D Players,5.0
All MST,"[[ 0.          0.         13.47346927  0.         15.26013024  0.
   0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
  23.48918133  0.          0.        ]
 [ 0.         12.40288563  0.          0.          0.          0.
   0.          0.          0.        ]
 [ 0.          0.          9.06310331  0.          0.          0.
   0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.        ]
 [ 0.          0.         18.95164348  0.          0.          0.
   0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.        ]
 [ 0.          0.          0.         10.31677625  0.          0.
   0.          0.          0.        ]
 [ 0.         13.00160451  0.          0.          0.          0.
   0.          0.          0.        ]]"
All_Avg_Edge,14.49484925184007
All_Total_Edge,115.95879401472055
All_Avg_Edges per Player,1.7777777777777777
O MST,"[[ 0.          0.          0.          0.         15.58158701]
 [ 0.          0.          0.         31.51889663  0.        ]
 [ 0.         31.98145137  0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          0.         25.78556761  0.          0.        ]]"
O_Avg_Edge,26.21687565385505
O_Total_Edge,104.8675026154202
O_Avg_Edges_per_Player,1.6
D MST,"[[ 0.          0.          0.          0.          0.        ]
 [ 0.          0.         12.40288563  0.          0.        ]
 [13.47346927  0.          0.          0.          0.        ]
 [ 0.          0.          9.06310331  0.          0.        ]
 [ 0.          0.          0.          6.27605384  0.        ]]"
D_Avg_Edge,10.30387801148831
D_Total_Edge,41.21551204595324
D_Avg_Edges per Player,1.6
OD_MST_Ratio,2.5443697629790005
All_OCR,0.625
high_danger_within_four,0
